paragraph,classe
as part of the facebook companies whatsapp receives information from and shares information see here with the other facebook companies we may use the information we receive from them and they may use the information we share with them to help operate provide improve understand customize support and market our services and their offerings including the facebook company products this includes helping improve infrastructure and delivery systems understanding how our services or theirs are used promoting safety security and integrity across the facebook company products eg securing systems and fighting spam threats abuse or infringement activities improving their services and your experiences using them such as making suggestions for you for example of friends or group connections or of interesting content personalizing features and content helping you complete purchases and transactions and showing relevant offers and ads across the facebook company products and providing integrations which enable you to connect your whatsapp experiences with other facebook company products for example allowing you to connect your facebook pay account to pay for things on whatsapp or enabling you to chat with your friends on other facebook company products such as portal by connecting your whatsapp account,true
learn more about the other facebook companies and their privacy practices by reviewing their privacy policies,false
in the event that we are involved in a merger acquisition restructuring bankruptcy or sale of all or some of our assets we will share your information with the successor entities or new owners in connection with the transaction in accordance with applicable data protection laws,true
you can access or port your information using our inapp request account info feature available under settings account for iphone users you can learn how to access manage and delete your information through our iphone help center articles for android users you can learn how to access manage and delete your information through our android help center articles,false
we store information for as long as necessary for the purposes identified in this privacy policy including to provide our services or for other legitimate purposes such as complying with legal obligations enforcing and preventing violations of our terms or protecting or defending our rights property and users the storage periods are determined on a casebycase basis that depends on factors like the nature of the information why it is collected and processed relevant legal or operational retention needs and legal obligations,true
if you would like to further manage change limit or delete your information you can do that through the following tools,false
services settings you can change your services settings to manage certain information available to other users you can manage your contacts groups and broadcast lists or use our block feature to manage the users with whom you communicate,false
changing your mobile phone number profile name and picture and about information if you change your mobile phone number you must update it using our inapp change number feature and transfer your account to your new mobile phone number you can also change your profile name profile picture and about information at any time,false
deleting your whatsapp account you can delete your whatsapp account at any time including if you want to revoke your consent to our use of your information pursuant to applicable law using our inapp delete my account feature when you delete your whatsapp account your undelivered messages are deleted from our servers as well as any of your other information we no longer need to operate and provide our services deleting your account will for example delete your account info and profile photo delete you from all whatsapp groups and delete your whatsapp message history be mindful that if you only delete whatsapp from your device without using our inapp delete my account feature your information will be stored with us for a longer period please remember that when you delete your account it does not affect your information related to the groups you created or the information other users have relating to you such as their copy of the messages you sent them,true
you can learn more here about our data deletion and retention practices and about how to delete your account,false
we access preserve and share your information described in the information we collect section of this privacy policy above if we have a good faith belief that it is necessary to a respond pursuant to applicable law or regulations legal process or government requests b enforce our terms and any other applicable terms and policies including for investigations of potential violations c detect investigate prevent or address fraud and other illegal activity or security and technical issues or d protect the rights property and safety of our users whatsapp the other facebook companies or others including to prevent death or imminent bodily harm,true
whatsapp shares information globally both internally within the facebook companies and externally with our partners and service providers and with those with whom you communicate around the world in accordance with this privacy policy your information may for example be transferred or transmitted to or stored and processed in the united states countries or territories where the facebook companies affiliates and partners or our service providers are located or any other country or territory globally where our services are provided outside of where you live for the purposes as described in this privacy policy whatsapp uses facebooks global infrastructure and data centers including in the united states these transfers are necessary to provide the global services set forth in our terms please keep in mind that the countries or territories to which your information is transferred may have different privacy laws and protections than what you have in your home country or territory,true
we may amend or update our privacy policy we will provide you notice of amendments to this privacy policy as appropriate and update the last modified date at the top of this privacy policy please review our privacy policy from time to time,true
california residents may learn more about their rights including how to exercise their rights under the california consumer privacy act of 2018 by clicking here,false
brazilian general data protection law you may learn more about your rights including,false
effective as of may 25 2018,false
prezi inc prezi us or we respects the privacy and personal information of the members of the prezi community this privacy policy applies to all of the services offered by prezi inc including the prezi website prezi desktop software and mobile device software but excludes services that have separate privacy policies that do not incorporate this privacy policy,false
collectively the services covered by this privacy policy are referred to herein as the services this privacy policy explains what information we collect from you how we use that information how you can review or change the personal information you provided to us when this policy is effective how we may change this policy and the steps we take to ensure that your personal information is protected we share your personal information only with your consent or as described in this policy,false
in specific cases we use the term designated countries to refer to countries in the european union eu european economic area eea and switzerland,false
data controller and contracting parties,false
prezi inc will be the controller of your personal information provided to or collected by or for or processed in connection with our services the terms of use together with the other policies and agreements listed therein are between you and prezi inc in the case of content information you provide see content information section below you control such information you should be solely liable for it and it is outside our control,false
as a registered user or site visitor the collection use and sharing of your personal data is subject to this privacy policy which includes our cookie policy and other documents referenced in this privacy policy and updates,false
this privacy policy may be amended from time to time and if we make material changes to it we will provide notice through the services or by other appropriate means,true
your continued use of our services after a revised privacy policy is posted will constitute your acknowledgement that the collection use and sharing of your personal data is subject to the updated policy the effective date of this policy is referenced and displayed at the beginning of this policy,false
you dont have to create an account to use some of our service features such as searching and viewing public presentations if you do choose to create an account and become a member you must provide us with some personal data so that we can provide our services to you including your name email address andor phone number occupation title and a password,true
in order to gain access to specific premium features within our services you must provide us with payment information including your credit or debit card number card expiration date cvv code and billing address,true
the services also include our customer support where you may choose to submit information regarding a problem you are experiencing for example if you designate yourself as a technical contact open a support ticket speak to one of our representatives directly or otherwise engage with our support team you will be asked to provide contact information a summary of the problem you are experiencing and any other documentation screenshots or information that would be helpful in resolving the issue,true
from time to time we may ask our registered users or visitors to participate in surveys these surveys are optional if you choose to participate any information you provide to us including personal information will be linked with your account in our system if you would not like your information to be used in this way you have the option to not participate in surveys or if you do participate to provide us only with information you consent to our use of in accordance with this privacy policy,true
parts of our services allow users to upload user content including presentations messages comments images and other materials if you choose to upload personal information through these means in a manner that makes it visible to the public we will consider that information public and will not limit its use or disclosure in the manner described in this privacy policy,false
we do not associate content information that is stored in your presentations infographics or other freeform content inputs such as comments with personal information about you or others information in your presentations and infographics belongs to you and you are responsible for it as well as for making sure that your content complies with our terms of service our employees do not access private content unless required to for security or maintenance or for support reasons or with your consent,false
if your content is made public anyone including us may view its contents and potentially make other uses of it if you have included private or sensitive information in your public presentation such as email addresses that information may be indexed by search engines or used by third parties if your user content is shared privately those you have shared it with may use it in a manner inconsistent with our terms of use andor inconsistent with your wishes including disclosing it publicly,false
some components of the services allow you and others to share user content and send personal messages with other registered users and nonregistered users to use this feature you must provide us with personal information about others including an email address for each recipient for example when collaborating on a presentation you may want feedback from other team members or nonteam members and you can do so by adding those members as collaborators,true
we receive information when you view content on or otherwise interact with the services even if you are a visitor for example when you visit our websites sign into our services interact with our email notifications or visit a thirdparty service that includes content from our services we may receive information about you or combine such information with other personal information this service usage information includes data such as your ip address browser type operating system the referring web page pages visited within our services location your mobile carrier device information including device and application ids search terms and cookie information,true
we receive information about you when you or your administrator integrate or link a thirdparty service with our services including information from the third party who provides the linked service for example if you create an account or log into the services using your google credentials we receive your name and email address as permitted by your google profile settings in order to authenticate you we also provide options within the services that enable you to link to services such as slack and salesforce so you can receive real time notifications and integrate content within those platforms to learn more about these third parties privacy practices please consult their privacy policies,true
a cookie is a small amount of information that a website you visit stores on your computer or device like many websites we our service providers linked services and third party content that appears on our services may use cookies to collect additional website usage data and to operate our services cookies are not required for many parts of our services such as viewing public content you can control at any time what cookies you allow through your browser settings and other tools however some of our services may not function properly if you disable cookies when your browser or device allows it we use both session cookies and persistent cookies to better understand how you interact with our services and to monitor aggregate usage patterns you can read further information about how we use cookies as described in our cookie policy,true
the services our service providers linked services and third party content that appears on our services may use other tracking tools including socalled pixel tags web beacons web bugs clear gifs etc collectively web beacons to collect information about your activities on the services these are small electronic images embedded in web content and email messages and are ordinarily not visible to users like cookies web beacons enable us and our service providers to track pages and content accessed and viewed by users also when we send html for matted as opposed to plain text emails to you web beacons may be embedded in such emails to allow us to monitor readership levels so that we can identify aggregate trends and individual usage to provide our audiences with more relevant content or offers web beacons in emails may recognize activities such as when an email was opened how many times an email was forwarded which links in the email were clicked etc web beacons cannot be declined when delivered via a regular web page however web beacons can be refused when delivered via email if you do not wish to receive web beacons via email you will need to disable html images or refuse html select text only emails via your email software,true
subject to your settings if you view or click on an advertisement that we have placed on our services or the site of a third party the ad provider will learn that someone visited the page that displayed the ad may receive information about you such as your ip address and may through that information or the use of other mechanisms such as cookies be able to personally identify you our advertising partners may share information they collect in connection with our advertising including personal information with us,true
prezi relies on a number of other companies agents and or contractors to perform services on our behalf and to assist us in operating and providing the services to you for example we may engage such service providers to provide marketing communications website hosting infrastructure and it services to personalize and optimize the services provide customer service collect debts and analyze and enhance data in the course of providing such services to us these companies may obtain information about you including personal information and that information will be shared with us we do not authorize these companies to use or disclose your personal information except in connection with providing the services we request from them,true
one of our service providers is google analytics which collects information such as how often users visit this site what pages they visit when they do so and what other sites they used prior to coming to this site to learn more about how google analytics collects and uses your data when you use the service and how you can control the information sent to google analytics please review,true
at this time the services do not respond to do not track signals sent from web browsers,false
our services are dynamic and we often introduce new features which may require the collection of new information if we collect materially different personal information or materially change how we use your data we will notify you and may also modify this privacy policy,true
we do not intentionally collect information from registered users or visitors under the age of 13 we do not intentionally collect sensitive personal information such as social security numbers genetic data health information or religious information although we do not request or intentionally collect any sensitive personal information we realize that you might store this kind of information in your account such as in a presentation and or infographic if you store any sensitive personal information on our servers you are consenting to our storage processing and use of that information in accordance with this privacy policy,true
how we use the information we collect depends in part on which services you use how you use them and any preferences you have communicated to us below are the specific purposes for which we use the information we collect about you,false
we use the information we collect including account payment contact and support information to provide the services to you including to process transactions with you authenticate you when you log in provide customer support and operate and maintain the services,true
also use service usage information to operate our services and ensure their secure reliable and robust performance for example we use the information to protect the security of accounts and to determine what content is popular on our services,true
we use the information we collect including account service usage and survey information to conduct research and development for the further development of our services in order to provide the services to you and others,true
we use collective learnings about how people use our services and feedback provided directly to us to troubleshoot and to identify trends usage activity patterns and areas for integration and improvement of the services in some cases we apply these learnings across our services to improve and develop similar features or to better integrate the services you use we also test and analyze certain new features with some users before rolling the feature out to all users,true
aggregate insights we may also use the information we collect to produce and share aggregated insights that do not identify you for example we may choose to publish statistics regarding how many members live in the us versus how many live in europe if you complete a survey that asks for employment information we may publish statistics regarding which professions are most likely to use or not use our services,true
personalized experiences within our services we include tailored features that personalize your experience enhance your productivity and improve your ability to collaborate effectively with others by automatically analyzing your activities and those of your team to provide better content notifications and recommendations that are most relevant for you and your team for example we may use your email domain to infer your affiliation with a particular organization or industry to personalize the content and experience you receive on our websites andor communications where you use multiple services eg prezi desktop prezi on the web or mobile device we combine information about you and your activities to provide an integrated experience such as to allow you to find information from one service while searching from another or to present relevant information as you travel across our websites,false
services communications we use the information we collect including account and contact information to send communications via email phone and within the services including confirming your purchases reminding you of subscription expirations responding to your comments questions and requests providing customer support and sending you technical notices updates security alerts and administrative messages  we send you email notifications when you or others interact with you on the services for example when you are mentioned on a comment we also provide tailored communications based on your activity and interactions with us  for example certain actions you take in the services may automatically trigger a feature or thirdparty app suggestion within the services that would make that task easier  we also send you communications as you onboard to a particular service to help you become more proficient in using that service  these communications are part of the services and in most cases you cannot opt out of them  if an opt out is available you will find that option within the communication itself or in your account settings,true
Marketing we use the information we collect including account contact service usage and survey information to send you information or materials via email about products offers and news we think might interest you in specific cases where we have your consent and you have provided us additional contact information we may contact you through other channels including telephone these communications are aimed at driving engagement and maximizing what you get out of the services including information about new features survey requests newsletters and events we think may be of interest to you  we also communicate with you about new product offers promotions and contests of prezi inc or its licensees or selected commercial partners you can control whether you receive these communications as described below under your choices  obligations section,true
for customer support we use the information we collect including service usage information which can include your communications to investigate respond to and resolve complaints and service issues eg bugs,true
for advertising we use the information we collect including account and contact information to target ads to registered users visitors and others through a variety of advertising partners in some cases we also use information including service usage information and information from web beacons pixels and cookies and device identifiers that we collect as mentioned above to better understand how to promote and advertise our services to you,true
for example we use facebook custom audiences to promote specific services on facebooks ad platform we will only use these advertising partners to promote our services we do not promote other products or services that are not related to prezi inc,false
for safety and security we use the information we collect including account payment and service usage information including your communications to verify accounts and activity to monitor suspicious or fraudulent activity and to identify violations of service policies including our terms of service or this privacy policy andor attempts to harm our members or visitors,true
to protect legitimate interests and legal rights where required by law or where we believe it is necessary to protect our legal rights legitimate interests and those of others we may use or disclose information about you in connection with legal claims compliance regulatory and audit functions and in connection with the acquisition merger or sale of a business,true
we use information about you where you have given us consent to do so for a specific purpose not listed above for example we may publish testimonials or featured customer stories to promote the services with your permission,true
how we share information we make collaboration tools and we want them to work well for you we share information we collect in the ways discussed below,false
collaborating with others within our services you can create content which may contain account and contact information and grant permission to others to see share edit copy and download that content based on settings you or your administrator if applicable select some of the collaboration features of the services display some or all of your profile information to other service users when you share or interact with specific content you can confirm whether certain service properties are publicly visible from within the services or by contacting the relevant administrato,true
sharing of public content we enable the sharing of user content on our services if your content is public facing third parties may access and use it we do not sell that content it is yours however we do allow third parties such as search engines eg google archives and other members of the public to access and compile public facing information,true
managed accounts and administrators if you register for or access the services using an account that is associated with a team or organization information about you including your account service usage and user content will be accessible to that organizations administrator in order to enable sharing and collaboration within an organization we also share your account information with other registered users within the same organization,true
in the case of team accounts depending on the contractual agreement we may be considered as a processor of the personal information and the organization and its administrator would be the controller of such data,false
community forums our websites offer publicly accessible blogs and forums you should be aware that any information you provide on these websites including profile information associated with the account you use to post the information may be read collected and used by any member of the public who accesses these websites your posts and certain profile information may remain even after you terminate your account we urge you to consider the sensitivity of any information you input into these services,true
service providers we use others to help us provide our services this includes to help us do application development hosting maintenance backup storage virtual infrastructure payment processing marketing and analysis thirdparty service providers have access to your information as reasonably necessary to perform these tasks on our behalf and are obligated not to disclose or use it for other purposes all our service providers must meet our security and privacy standards before they gain access to any of your information,true
our partners we work with third parties who provide consulting sales and technical services to deliver and implement customer solutions around the services we may share your information with these third parties in connection with their services such as to assist with billing and collections to provide localized support and to provide customizations we may also share information with third parties where you have agreed to that sharing,true
advertising partners we work with several third party advertisers and or ad networks to place ads promoting our services on their platforms the types of information we share with advertising partners include device identifiers eg session information or your contact information based on your consent you can control whether we may share this information with our advertising partners as described below under your choices obligations section,true
linked services in the event you opt to link your account with third party services personal information including account information eg full name email address username will become available to them the sharing and use of that personal information will be described in or linked to a consent screen when you opt to link the accounts,true
with your consent we share information about you with third parties when you give us consent to do so,true
law harm and the public interest we may share information about you with a third party if we believe that sharing is reasonably necessary to a comply with any applicable law regulation legal process or governmental request including to meet national security requirements b enforce our agreements policies and terms of service c protect the security or integrity of our services d protect us our customers or the public from harm or illegal activities or e respond to an emergency which we believe in good faith requires us to disclose information to assist in preventing the death or serious bodily injury of any person,true
prezi inc companies we share information we have about you with other prezi inc affiliates including infogram in order to operate and improve products and services and to offer other prezi inc affiliated services to you,true
business transfers we may share or transfer information we collect under this privacy policy in connection with any merger sale of company assets financing or acquisition of all or a portion of our business to another company you will be notified via email andor a prominent notice on the services if a transaction takes place as well as any choices you may have regarding your information,true
options to access and control your personal information,false
we provide many choices about the collection use and sharing of your data including deleting or correcting data you include in your profile and controlling the visibility of your content,false
update or correct data you can edit some of your personal information through your account you can also ask us to change update or fix your data in certain cases particularly if its inaccurate,true
delete data you can ask us to erase or delete your personal information in some cases for example information previously posted in public areas it may not be practical or may be unduly burdensome to delete user data in the event that we may not delete your information we will inform you,true
object to or limit or restrict use of data you can ask us to stop using all or some of your personal data eg if we have no legal right to keep using it or to limit our use of it eg if your personal data is inaccurate or unlawfully held,true
access and or take your data you can ask us for a copy of your personal data you provided in machine readable form,true
registered users and visitors can learn more about how to make these requests here you may also contact us using the contact information below and we will consider your request in accordance with applicable laws,false
your california privacy rights california civil code section 179883 known as the shine the light law permits members of our community who are california residents to request and obtain from us a list of what personal information if any we may have disclosed to third parties for direct marketing purposes in the preceding calendar year including the names and addresses of those third parties requests may be made once a year and are free of charge if you would like to make a request pursuant to california civil code section 179883 you must do so in writing via email please include the phrase request for california privacy information in the subject line and in the body of your message,false
account closure you may cancel your account and you may opt out of receiving marketing emails from us at any time in order to cancel your account opt out of or modify your personal information you must do so by logging in and visiting your settings  account page and following the instructions provided or go to our help support page we encourage you promptly to update your personal information when it changes information concerning your past behavior with the services may be retained by us as long as necessary for the purposes set out above,true
general security in order to protect both the personal information and the general information that we receive from you through your use of the services we have implemented various security measures for example when you enter personal information such as your contact information on our online forms we encrypt that information using transport layer security tls we also follow generally accepted industry standards to protect the personal information submitted to us both during transmission and once we receive it,true
risk of interception please keep in mind however that whenever you give out personal information online there is a risk that third parties may intercept and use that information while prezi strives to protect your personal information and privacy we cannot guarantee the security of any information you disclose online we cannot guarantee the security of any data provided to or received by us through your use of the services and any personal information general information or other data or information is provided to us at your own risk,false
how long we keep your information we will only retain your information to the extent a it is needed for the purposes which we have conveyed to you b we are required by law to maintain such information or c it is needed for us to address any issues or inquiries that you may have when your information is no longer required we will dispose of such information by destroying it or erasing it,true
cross border data transfers we process data both inside and outside of the united states and rely on legally provided mechanisms to lawfully transfer data across borders,false
some of the third parties described in this privacy policy which provide services to us under contract are based in other countries that may not have equivalent privacy and data protection laws to the country in which you reside when we share information of our users in the designated countries we make use of european commission approved standard contractual data protection clauses binding corporate rules for transfers to data processors or other appropriate legal mechanisms to safeguard the transfer,false
countries where we process data may have laws which are different and potentially not as protective as the laws of your own country,false
our policy towards children the services are for a general audience and do not direct any content products or services at children under 13 years of age we understand and are committed to respecting the sensitive nature of childrens privacy online if you are a user between the ages of 13 and 18 you may only use prezi through an account established by a parent or guardian with that parent or guardians permission  provided that in your jurisdiction there is no requirement for you or your parent to provide any consent to prezi for a minors use beyond what is already provided in prezis terms of use and privacy policy by way of example in some designated countries users as old as 16 may be required to have their parent or guardian submit a specific consent to prezi and in those countries users under 16 years of age may not use prezi,false
legal bases for processing for designated countries if you are a member or visitor in the designated countries we collect and process information about you only where we have legal bases for doing so under applicable eu laws the primary legal basis for this is always your consent given when you sign up to our services the legal bases depend on the services you use and how you use them this means we collect and use your information only where,false
we need it to provide you the services including to operate the services provide customer support and personalized features and to protect the safety and security of the services,false
it satisfies a legitimate interest which is not overridden by your data protection interests such as for research and development to market and promote the services and to protect our legal rights and legitimate interests or those of third parties,false
you give us consent to do so for a specific purpose or we need to process your data to comply with a legal obligation,false
if you have consented to our use of information about you for a specific purpose you have the right to change your mind at any time but this will not affect any processing that has already taken place  where we are using your information because we or a third party eg your employer have a legitimate interest to do so you have the right to object to that use though in some cases this may mean no longer using the services,false
if you have any questions about the lawful bases upon which we collect and use your personal data click here to learn how to get in touch with our data protection officer,false
last updated january 14 2022,false
the adobe privacy policy describes the privacy practices of adobes services and software as defined in our general terms of use and anywhere we display or reference this policy if you are a resident of north america your relationship is with adobe inc adobe us and the laws of california and the united states apply,false
if you reside outside of north america your relationship is with adobe systems software ireland limited adobe ireland which is the controller with regard to your personal information collected by adobe and the laws of ireland apply,false
please note that in order to use our services and software you authorize adobe to transfer your personal information across national borders and to other countries where adobe and its partners operate including the united states the privacy protections and rights of authorities to access your information in these countries may not be equivalent to those in your country we will only transfer your personal information to these countries where permitted to do so by law and we will take steps intended to ensure that your personal information continues to receive appropriate protections for more information please see the section does adobe transfer my personal information across national borders,true
if the content or information that you store in adobe services and software contains personal information of other individuals you must be legally permitted to share the personal information with adobe,false
summary of key points,false
where your consent is required we will obtain your permission before i sending you news and promotional material about adobe ii accessing information stored on your device relating to your use of and engagement with services and software eg adobe connect meetings and crash reports and iii analyzing your content you can withdraw your consent to such activities at any time learn more,true
this policy explains when we process personal information for our legitimate interests you can ask us to stop processing this information learn more about your rights and how you can exercise them,false
we use your personal information to enable you to register with adobe and to provide you with our services and software and other products or services that you request learn more,true
we use cookies and other technologies to track the use of our services and software to learn about opportunities to choose not to allow cookies click here if you are using our website in a browser this information is also available in our cookies policy,true
there are several places within adobes services and software that allow you to post comments upload pictures or submit content which will be publicly available where you choose to participate in these activities we also disclose personal information to other companies in the adobe family and with advertising and sales partners consistent with your choices we also share information with third parties we engage to process personal information on our behalf or when such sharing is required by law or in certain other situations learn more,true
we transfer your personal information to the us and other countries which may be outside the country in which you live we use government approved contractual clauses such as european commission approved standard contractual clauses to help protect your personal information learn more,false
this privacy policy describes how adobe also referred to as we us or our will make use of your information in the context of adobe websites webbased services such as behance and webbased aspects of the creative cloud document cloud and experience cloud together referred to as websites,false
please note that websites and apps provided by some companies acquired by adobe may operate under their own privacy policies until their privacy practices are integrated with adobes privacy practices for a current list of these companies click here,false
